Faction	Type	Name	Status	Original Text	Current Text	Orig Chars	Curr Chars	Flavor Text
Dogs of War	army_rule	Pikemen	REWRITTEN	Never benefit from defended or fortified status in dense terrain or on fortress walls. Count as defended against cavalry or chariots charging their front (first combat round only). Based as cavalry but move as infantry. Can only give/receive support from infantry or other Pikemen stands facing the same direction, touching flank with whole flank. No support from behind or in front.	No def or fort benefit in dense terrain or on fortress walls. Count as def in the open vs. frontal attacks (enemy hit on 5+). Flanked or rear attacks: no defensive benefit, normal hits apply. Cannot charge on initiative. +1 atk when charged to the front by cavalry or chariots; no +1 for charging.	383	297	
Ogre Kingdoms	unit	Ironguts	FLAVOR_ONLY	Elite Ogre warriors.	Elite Ogre warriors.	20	20	The gut-plate is decorative. The fists are not.
Ogre Kingdoms	unit	Sabretusks	FLAVOR_ONLY	Fast hunting cats.	Fast hunting cats.	18	18	They outrun the wind and outfight the foolish.
Ogre Kingdoms	unit	Scrap Launcher	FLAVOR_ONLY	Stone Thrower.	Stone Thrower.	14	14	Waste nothing. If it fits in the bucket, it flies.
Albion	unit	Warriors	FLAVOR_ONLY	Core Albion warriors.	Core Albion warriors.	21	21	Painted in woad, hardened by rain, unbowed by empire.
Albion	unit	Slingers	FLAVOR_ONLY	Shoot 15cm.	Shoot 15cm.	11	11	A stone well-thrown needs no blessing to kill.
Albion	unit	Wolfhounds	FLAVOR_ONLY	Fast war hounds.	Fast war hounds.	16	16	The wolves of Albion do not bark before they bite.
Albion	army_rule	Fenbeast	REWRITTEN	Cannot be deployed normally. A Druid may summon Fenbeasts using the Summon Fenbeast spell. Fenbeasts can only be ordered by Druids and cannot brigade with any other unit type. Fenbeasts never use initiative to move. They can move through bogs as open terrain. The army cannot have more Fenbeasts on the table at any time than it has Druids. Fenbeasts are not counted towards break point or victory points.	Cannot be deployed normally; summoned by a Druid via the Summon Fenbeast spell. Causes terror. If their Druid is slain, Fenbeasts are confused until a new Druid moves within 20cm. Regeneration: at the start of each Combat phase, restore one destroyed stand in base contact. Badly Hurt: at 3 hits, attacks halved to 2.	405	317	
Goblin Army	unit	Spear Chukka	FLAVOR_ONLY	Bolt Thrower.	Bolt Thrower.	13	13	It don't need to be accurate. Just frequent.
Witch Hunters	unit	Halberdiers	FLAVOR_ONLY	Standard infantry.	Standard infantry.	18	18	Their faith is in steel, not scripture.
Witch Hunters	unit	Knights	FLAVOR_ONLY	Standard heavy cavalry.	Standard heavy cavalry.	23	23	Their crusade has no end. Their enemies have no mercy.
Witch Hunters	spell	Divine Curse	REWRITTEN	Cast on any enemy unit within range (no LoS needed). Lasts until end of opposing player's following turn. The unit moves at half pace in all situations, even when charging. The unit counts all enemies as terrifying (-1 Attack penalty) even if normally immune to terror. If the unit would normally cause terror it ceases to do so. Undead and Daemon targets do not count enemies as terrifying but all other penalties apply.	Cast on any enemy unit within range (no LoS). Lasts until end of opponent's next turn. Unit moves at half pace, even when charging. Unit counts all enemies as terrifying (-1 Atk) even if normally immune. If unit normally causes terror, it ceases to. Undead/Daemon targets do not count enemies as terrifying but all other penalties apply.	421	337	
Witch Hunters	army_rule	Flagellants	REWRITTEN	Always charge on initiative; cannot be given orders instead. Never evade. Cannot be driven back by shooting and do not roll for drive backs. Must pursue or advance if victorious. Immune to terror — no -1 Attack modifier.	Always charge on initiative; cannot be ordered instead. Never evade. Cannot be driven back by shooting; no drive-back rolls. Must pursue or advance if victorious. Unaffected by terror (no -1 atk). +1 atk vs. Monsters (giants, dragons, etc.). If any stands survive a combat round, the enemy scores full VPs. If the unit is destroyed completely, neither side scores VPs.	220	368	
Chaos Dwarfs	unit	Black Orcs	FLAVOR_ONLY	Elite orc slaves.	Elite orc slaves.	17	17	Chained in the forge-pits. Unchained on the field.
Chaos Dwarfs	unit	Bull Centaurs	FLAVOR_ONLY	Powerful cavalry.	Powerful cavalry.	17	17	Half craftsman, half beast — wholly murderous.
Wood Elves	unit	Glade Riders	FLAVOR_ONLY	Light cavalry.	Light cavalry.	14	14	They move through the forest like wind through leaves.
Beastmen	unit	Bestigors	FLAVOR_ONLY	Woodland Folk. Elite beastmen.	Woodland Folk. Elite beastmen.	30	30	They are what the forest becomes when left to its rage.
Beastmen	unit	Centigors	FLAVOR_ONLY	Shoot 15cm, 360° vision.	Shoot 15cm, 360° vision.	24	24	Wild, drunk, and twice as fast as reason permits.
Beastmen	unit	Chaos Hounds	FLAVOR_ONLY	Fast war hounds.	Fast war hounds.	16	16	Born hungry. Never sated. Always faster than you.
Beastmen	army_rule	Gor and Ungor Ambushers	REWRITTEN	Up to half the Gor units (rounded down) and half the Ungor units (rounded down) may be designated Ambushers. Ambushers are deployed during any Command phase rather than at the start. Issue an Ambush order to a point in dense terrain or on any table edge except the enemy's (ignoring Command range limits but applying distance and enemy proximity penalties). On success, place one stand at the point and deploy the rest in formation around it. The Ambush order counts as their first order. Ungor have 15cm shooting range.	Up to half Gor units and half Ungor units (both rounded down) may be Ambushers. They are not deployed at the start. Each Cmd phase, instead of ordering them, place one in dense terrain not occupied by enemy and at least 20cm from any enemy — this counts as their move. Each unit may ambush once. If the terrain is within 20cm of an enemy at game start, no ambush there.	520	369	
Norse	unit	Bondsmen	FLAVOR_ONLY	Core Norse warriors.	Core Norse warriors.	20	20	Every bond is tested. Steel holds longer than oaths.
Norse	unit	Huscarls	FLAVOR_ONLY	Elite Norse warriors.	Elite Norse warriors.	21	21	The last to retreat. Often, the last to survive.
Norse	unit	Huntsmen	FLAVOR_ONLY	Missile troops.	Missile troops.	15	15	They track prey through snow that swallows armies whole.
Norse	unit	Cavalry	FLAVOR_ONLY	Standard Norse cavalry.	Standard Norse cavalry.	23	23	They ride to war like they ride to feast — loudly.
Norse	spell	Eye of the Raven	REWRITTEN	The Norse player may re-roll a single D6 at any time during the rest of his turn, through the opponent's turn, or in his following turn (until end of next Command phase). Cannot be used on blunder Command rolls, but can re-roll the blunder chart result. Only one Eye of the Raven spell may be in effect per turn. The re-roll result cannot be changed or re-rolled again by any other means (Orb of Majesty, Banner of Fortune, etc.), and this spell cannot re-roll a die already re-rolled by another effect.	Re-roll one single D6 at any point from now through the end of the opponent’s next turn (including their turn). Applies to any roll — orders, magic, artillery, shooting, or combat — but only ONE die in that roll (e.g. one die of a 3D6 drive back). Cannot be used for Instability or Giant Goes Wild. Only one Eye of the Raven active at a time.	503	342	
Cathay	unit	Bannermen	FLAVOR_ONLY	Core infantry. Required for large brigades.	Core infantry. Required for large brigades.	43	43	Where the banner stands, the line holds.
Cathay	unit	Crossbows	FLAVOR_ONLY	Can be replaced by Handguns (same min/max count).	Can be replaced by Handguns (same min/max count).	49	49	The bolt cares nothing for the rank of its target.
Cathay	unit	Handguns	FLAVOR_ONLY	Armour piercing: -1 to enemy armour saves.	Armour piercing: -1 to enemy armour saves.	42	42	Thunder speaks where words have failed.
Cathay	unit	Maneaters	FLAVOR_ONLY	Mercenary Ogres.	Mercenary Ogres.	16	16	Far from home, and glad of it.
Cathay	unit	Imperial Cavalry	FLAVOR_ONLY	Standard heavy cavalry.	Standard heavy cavalry.	23	23	Jade armour. Iron discipline. Unstoppable momentum.
Cathay	unit	Triple Bows	FLAVOR_ONLY	Bolt Thrower.	Bolt Thrower.	13	13	Three bolts. One heartbeat. One fewer enemy.
Nippon	unit	Ashigaru	FLAVOR_ONLY	Core spearmen.	Core spearmen.	14	14	They hold the line so the samurai may advance.
Nippon	unit	Ashigaru Bowmen	FLAVOR_ONLY	Standard archers.	Standard archers.	17	17	Release together. Strike as one. Fall as none.
